,Tanggal,Pengguna,Tweet,Sentimen
0,2022-04-19 03:54:47,rumah_jualbeli,"TERJANGKAU, Hubungi 0812-1244-2489, Kavling Tanah Dijual Murah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/gdKc5cgfn6",Netral
1,2022-04-19 03:54:42,salbi__,akwowakoawkaow kos gawe di jakarta wae,Netral
2,2022-04-19 03:54:26,dwijlynt,"Damage nya ga parah banget nih nder , take all ada potongan harga 5k/ea. Cek condi di dm^^ 📍Jakarta 🍊Freong ✅Keep event ✅Freebies ✅inc packing /sdh termasuk packing https://t.co/lfZAWrkn6u",Netral
3,2022-04-19 03:54:26,setyawarni123,RT : Goodbener mengajak kita semua warga DKI Jakarta untuk menggapai keberkahan Allah dengan serentak membaca Alq…,Netral
4,2022-04-19 03:54:20,T_Irham,10# Berikut delapan dukungan yang disampaikan Anies dibutuhkan Jakarta dari pemerintah pusat yakni:,Netral
5,2022-04-19 03:54:16,Zulkarn92072924,RT : PEJABAT JIKA SUDAH TERCAP PEMBOHONG PLEH RAKYAT NYA ...APALAGI YG AKAN KALIAN LAKUKAN❓ AGAR TAK LEBIH MEMALUKAN LAGI .…,Netral
6,2022-04-19 03:54:08,asyur77,RT : Salah satu lukisan yang dipamerkan di Pameran Internasional Kaligrafi Kontemporer 2022 di JIC Jakarta https://t.co/eaoMss3…,Netral
7,2022-04-19 03:54:01,SonoraFM92,"Berikut Jadwal Imsakiyah 1443 H Untuk wilayah DKI Jakarta &amp; Sekitarnya. Selamat Menunaikan Ibadah Puasa Sahabat Sonora 🙏 Yuk Like, Save &amp; Share informasi ini. -- #jadwalimsakiyah #ramadhan1443H #RamadhanSonora #SemarakRamadhan https://t.co/EWvxdYtBKQ",Netral
8,2022-04-19 03:53:59,Puas_Bangett,Sudahkah kamu join grup hari ini? DM gan kalo mau. #pap #grup #vip #jakarta #cantik #abg #tante #share,Netral
9,2022-04-19 03:53:58,ardi_tama1,_ Dokgi jakarta Di tempat praktek yg tepat jem kerja part time penghasilannya bisa full time,Positif
10,2022-04-19 03:53:57,yudhiis_,_Jakarta Untung 2017 udah Bali .wkwk,Netral
11,2022-04-19 03:53:52,satrionugrh,"RT _org: Orang Jakarta mungkin tidak tahu bahwa kota ini sedang mengalami kehilangan besar. Jakarta kehilangan Rasdullah, pemimpin…",Netral
12,2022-04-19 03:53:50,rumah_jualbeli,"TERLARIS, Hubungi 0812-1244-2489, Jual Kavling Tanah Murah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/TilZbhF0hk",Netral
13,2022-04-19 03:53:50,DolfieOtay,RT _idha: Festival Ramadhan dan Telur Paskah Bersanding Harmoni di Ruang Publik Jakarta Cakeepp 👍 https://t.co/46YayaO0Qu,Netral
14,2022-04-19 03:53:46,pjswxy20,jungwon lenti down 40k aja kak dom jakarta,Negatif
15,2022-04-19 03:53:46,Katan58472018,RT _03: Base : JAKARTA Todays : CAWANG - Jakarta Timut 🔴 ➤ ➤ _Gemoy11 ➤ _Gemoy11…,Negatif
16,2022-04-19 03:53:45,ajhari36603176,"Demi Terciptanya Herd Immunity, Polres Jakarta Utara Menggelar Vaksinasi Booster di Mal Artha Gading Bukber Disiplin Prokes https://t.co/3ZxbXscOYJ",Netral
17,2022-04-19 03:53:43,Jual003,ppkm jakarta dimana saja,Netral
18,2022-04-19 03:53:42,YunusAntares,RT : Salah satu lukisan yang dipamerkan di Pameran Internasional Kaligrafi Kontemporer 2022 di JIC Jakarta https://t.co/eaoMss3…,Netral
19,2022-04-19 03:53:35,meet_a_win,Ketemu mantan di pom bensin random padahal bukan daerah deket rumah dan dia juga udah pindah ke Jakarta,Negatif
20,2022-04-19 03:53:32,YunusAntares,"RT _Asmara1701: Sebelumnya, Blessmiyanda dipecat dari jabatannya oleh Gubernur Anies Baswedan lantaran diduga melakukan pelecehan seksu…",Netral
21,2022-04-19 03:53:30,Usuf31825502,"RT __: Dikirim teman viD mengajak warga muslim Jakarta melakukan kegiatan ngaji bersama tgl 20 pukul 10 WIB, Bi…",Netral
22,2022-04-19 03:53:25,UT_Jakarta,"_akura hallo ka, dapat dipilih pada saat registrasi pendaftaran UPBJJ UT Jakarta (byDA)",Netral
23,2022-04-19 03:53:13,Edone_PKY,Mungkin dia ingin mengurangi dosanya selama ini sudah membohongi warga Jakarta.,Netral
24,2022-04-19 03:53:12,Raffa1014,RT : Ready pijat reflexi dan kebugaran panggilan untuk pria dan wanita area #bekasi #kotabekasi #jakarta,Positif
25,2022-04-19 03:53:11,KantahKabPWK,"#Repost _bpn Menteri Agraria Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Sofyan A. Djalil menerima audiensi dari Pengurus Besar Yayasan Al Jam'iyatul Washliyah di Ruang Rapat Menteri, Kantor Kementerian ATR/BPN, Jakarta, Kamis (14/04/2022). https://t.co/lvgDtyrIj6",Netral
26,2022-04-19 03:53:05,falla_adinda,"#SeriusNanya Mereka yang gajinya besar dan kerjanya di Cikarang, memilih tinggal di mana? Jakarta? Atau ngontrak selama masa kerja di Cikarang?",Netral
27,2022-04-19 03:52:58,rumah_jualbeli,"TERJANGKAU, Hubungi 0812-1244-2489, Kavling Tanah Dijual Murah Di Kavling Desa Wisata Kebun Buah Saung Estetik Dekat Jakarta https://t.co/lQxjDu8vE6",Netral
28,2022-04-19 03:52:57,TMCPoldaMetro,10.53 Polri Sat Lantas Jakpus Melaksanakan kegiatan Sosialisasi Imbauan Prokes serta memantau pekerjaan jalan rusak yang sedang di perbaiki oleh BINA MARGA di Jl.Kramat Kwitang Senen Jakarta Pusat https://t.co/uaCHA9zazv,Netral
29,2022-04-19 03:52:48,dksxhrj,"RT : [ HELP RT ] hallo! tanggal 20 besok aku akan open photoframe yaa, aku bagi 2 batch karna takutnya ada yang harus tidur cep…",Negatif
30,2022-04-19 03:52:43,S1LOKA,RT : Ayo viralkan pesan Gubernur DKI Jakarta untuk serentak seluruh muslimin muslimat wrg Jkt dan Indonesia membaca surah alfatih…,Netral
31,2022-04-19 03:52:39,ketekarina,RT _Union: Rangkaian keseruan flover Indonesia di Birthday Event 'Happy Jiwon Jiheon Day' sskaligus buka bersama pada tanggal 17…,Positif
32,2022-04-19 03:52:39,koranjakarta_id,Presiden RI Joko Widodo Imbau Pemudik Berangkat Lebih Awal untuk Hindari Puncak Arus Mudik Tanggal 28-30 April Karena Hal Ini #koranjakarta #nasional #presidenjokowi #mudiklebaran #mudik2022 https://t.co/RHpM4vNLni,Netral
33,2022-04-19 03:52:34,UT_Jakarta,"hallo ka, silahkan akses kembali ya (byDA)",Netral
34,2022-04-19 03:52:28,pwtupdate,"RT : Semakin dekat dengan Anda untuk memberikan layanan purna jual, Fingerspot hadir diberbagai lokasi : ✅Jakarta ✅Bandung…",Netral
35,2022-04-19 03:52:23,kalpiyanti,"_Jakarta Nim aku, 030898578",Netral
36,2022-04-19 03:52:17,dearyyongie,"RT : Aamiin,salam satu aspal mas. Dari driver jakarta https://t.co/Kp5k1dCpgF",Netral
37,2022-04-19 03:52:15,semangatyach,"RT : 🚨BREAKING!🚨 PSSI, Barito, Persib dan David da Silva, resmi digugat di Pengadilan Negeri Jakarta Pusat atas dugaan sepak b…",Netral
